,,,,,,,,
,,,,,,,,
,Starting SOC,,,,,,,
,100% (10 MWh),,,,,,,
,,,,,,,,
,,,,,,,,
,Date/Time,Hour Ending,WFTANK Real-Time LMP,WFTANK Day-Ahead LMP,RRS (spinning reserve),REGUP,,
,45185.7916666667,20, $	49.59 , $	71.66 , $	10.00 , $	9.00 ,,
,45185.8333333333,20, $	27.92 , $	43.29 , $	10.00 , $	1.98 ,,
,45185.875,22, $	32.45 , $	35.65 , $	7.49 , $	6.73 ,,
,45185.9166666667,23, $	32.61 , $	32.92 , $	7.72 , $	6.60 ,,
,45185.9583333333,23, $	27.25 , $	27.81 , $	5.44 , $	4.92 ,,
,45186,1, $	28.40 , $	30.50 , $	3.49 , $	3.49 ,,
,45186.0416666667,2, $	24.71 , $	27.86 , $	2.60 , $	2.60 ,,
,45186.0833333333,2, $	24.72 , $	26.27 , $	1.50 , $	1.75 ,,
,45186.125,4, $	21.69 , $	25.32 , $	1.50 , $	1.67 ,,
,45186.1666666667,5, $	19.66 , $	24.47 , $	1.50 , $	1.83 ,,
,45186.2083333333,5, $	20.97 , $	24.11 , $	1.95 , $	2.34 ,,
,45186.25,7, $	22.53 , $	25.09 , $	1.56 , $	2.56 ,,
,45186.2916666667,8, $	22.79 , $	24.00 , $	1.51 , $	1.84 ,,
,45186.3333333333,8, $	18.86 , $	20.11 , $	1.69 , $	2.02 ,,
,45186.375,10, $	17.33 , $	19.85 , $	3.02 , $	3.55 ,,
,45186.4166666667,11, $	19.07 , $	21.87 , $	2.91 , $	3.41 ,,
,45186.4583333333,11, $	22.74 , $	22.78 , $	3.50 , $	5.00 ,,
,45186.5,13, $	24.81 , $	26.41 , $	4.99 , $	6.32 ,,
,45186.5416666667,14, $	36.62 , $	30.48 , $	5.00 , $	8.00 ,,
,45186.5833333333,14, $	26.91 , $	31.94 , $	7.40 , $	7.91 ,,
,45186.625,16, $	42.14 , $	37.46 , $	10.00 , $	10.88 ,,
,45186.6666666667,17, $	40.13 , $	40.18 , $	10.00 , $	10.33 ,,
,45186.7083333333,17, $	43.34 , $	51.15 , $	15.91 , $	16.43 ,,
,45186.75,19, $	483.25 , $	106.17 , $	22.00 , $	24.00 ,,
,45186.7916666667,20, $	81.16 , $	144.66 , $	17.59 , $	17.59 ,,
,45186.8333333333,20, $	73.09 , $	46.71 , $	10.00 , $	1.98 ,,
,45186.875,22, $	30.08 , $	37.59 , $	10.00 , $	8.57 ,,
,45186.9166666667,23, $	29.53 , $	30.80 , $	6.14 , $	5.32 ,,
,45186.9583333333,23, $	23.31 , $	25.77 , $	5.00 , $	4.35 ,,
,45187,1, $	21.55 , $	21.02 , $	1.80 , $	1.80 ,,
,45187.0416666667,2, $	19.89 , $	18.60 , $	1.50 , $	1.46 ,,
,45187.0833333333,2, $	17.34 , $	17.43 , $	1.02 , $	1.02 ,,
,45187.125,4, $	16.31 , $	16.84 , $	1.01 , $	1.01 ,,
,45187.1666666667,5, $	15.45 , $	16.77 , $	1.20 , $	1.33 ,,
,45187.2083333333,5, $	16.17 , $	17.48 , $	1.50 , $	1.95 ,,
,45187.25,7, $	18.52 , $	20.28 , $	1.50 , $	2.10 ,,
,45187.2916666667,8, $	18.12 , $	19.96 , $	1.50 , $	1.83 ,,
,45187.3333333333,8, $	14.60 , $	17.70 , $	1.69 , $	1.96 ,,
,45187.375,10, $	16.01 , $	17.33 , $	2.91 , $	3.44 ,,
,45187.4166666667,11, $	32.55 , $	19.15 , $	2.91 , $	3.45 ,,
,45187.4583333333,11, $	19.82 , $	22.84 , $	3.29 , $	4.72 ,,
